klasse;min_um_breite;max_um_breite;min_um_hoehe;max_um_hoehe
Closterium dianae;12;30;100;300
Closterium parvulum;10;15;90;130
Closterium striolatum;25;40;200;400
Closterium venus;7;10;55;80
Micrasterias rotata;150;270;220;300
Micrasterias thomasiana;200;260;170;230
Micrasterias truncata;80;110;85;120
Micrasterias papillifera;100;140;100;150
Closterium kuetzingii;15;25;300;550
Closterium setaceum;8;13;220;450
Closterium costatum;30;45;250;400
Netrium digitus;40;80;150;300
No Desmid;1000;1000;1000;1000
Cosmarium botrytis;50;70;65;90
Euastrum ansatum;35;45;70;90
Euastrum oblongum;65;85;140;180
Pleurotaenium ehrenbergii;20;30;300;500
Cosmarium obtusatum;47;60;55;72
Pleurotaenium trabecula;24;40;350;520
Closterium gracile;4;6;120;200
Staurastrum dispar;23;32;24;30
Euastrum binale;12;22;15;25
Cylindrocystis brebissionii;15;22;30;70
Staurodesmus extensus;13;21;13;21
Staurastrum polymorphum;30;49;25;30
Tetmemorus brebissonii;19;26;90;140
Bambusina borrerii;14;20;24;1000
Staurastrum furcatum;20;40;25;35
Cosmarium praemorsum;36;56;41;62
Cosmarium contractum;17;40;30;56
Desmidium swartzii;35;50;50;1000
Staurodesmus controverse;19;23;19;24
Staurastrum brachiatoides;25;40;25;43
Hyalotheka dissiliens;15;30;10;1000
Closterium submoniliferum;60;75;300;400
Closterium moniliferum;35;55;200;350
Closterium cornu;6;10;90;168
Euastrum didelta;60;75;120;150
Euastrum pinnatum;65;75;125;150
Roya obtusa;5;15;35;150
Staurastrum boreale;33;46;25;29
Closterium acutum;4;6;90;140
Staurastrum gracile;40;60;30;40
Xanthidium antilopaeum;42;108;42;114
Xanthidium unicatum;40;83;55;91
Cosmarium amoenum;23;30;42;55
Cosmarium connatum;50;90;70;105
Cosmarium hornavanense;48;65;60;82
Cosmarium laeve;17;23;20;30
Staurastrum margaritaceum;16;30;24;34
Cosmarium reniforme;44;56;46;64
Tetmemorus laevis;20;30;80;120
Pleurotaenium coronatum;40;60;400;600
Penium margaritaceum;15;30;90;200
Pleurotaenium truncatum;48;75;350;550
Pleurotaenium verrucosum;20;40;300;400
Euastrum humerosum;65;75;120;140
Staurastrum laeve;23;31;22;28
Penium cylindrus;10;15;25;60
Closterium juncidum;8;12;180;300
Cosmarium portianum;19;30;26;40
Closterium dianae var. arcuatum;20;32;250;350
Staurastrum paradoxum;32;60;30;47
Closterium incurvum;6;12;40;60
Closterium lunula;60;100;400;650
Staurodesmus triangularis;17;24;18;23
Euastrum elegans;17;22;27;40
Staurodesmus convergens;40;64;33;54
Closterium pronum;6;9;200;400
Xanthidium armatum;78;127;116;185
Spondylosium pulchellum;8;11;8;1000
Actinotaenium cucurbita;15;25;30;50
Cosmarium regnesi;6;13;6;13
Cosmarium pygmaeum;7;13;2;12
Spirotaenia beijerinckii;4;5;25;42
Cosmarium cucumis;20;40;100;200
Staurastrum lapponicum;31;42;32;44
Closterium attenuatum;35;45;400;550
Staurastrum striolatum;18;36;19;30
Staurastrum tetracerum;18;50;24;40
Closterium lineatum var elongatum;15;23;300;750
Euastrum verrucosum;50;90;80;145
Cosmarium tetraophthalmum;60;94;90;135